Model Number,Manufacturer,Primary Type,Grade,Temp Prio,Humidity Prio,Pressure Prio,CO2 Prio,VOC Prio,PM Prio,Light Prio,Power Prio,UV Prio,Noise Prio,Gas Prio,Maint Score,Calibration,Stability,Accuracy,Recommended For,Notes,Price (USD),Technology,Interface,Accuracy Detail,Stability Detail,Calibration Detail,Integration Complexity,Calibration Period,Mfr Calibration Spec,Arduino Library
TMP117,Texas Instruments,Temperature,Premium,1,,,,,,,,,,,Excellent (1),*****,*****,*****,Temperature,Best Temperature Sensor. Medical grade stability.,$14 - $23 (Module),Digital CMOS Temperature Sensor,I²C,±0.1 °C Max (-20 to 50 °C),Medical Grade (ASTM E1112/ISO),None (Factory Lifetime); No Calibration required,Low (High Address Flexibility),0h (immediate),Factory calibrated,
SHT45,Sensirion,T/H,Premium,2,1,,,,,,,,,,Excellent (1),*****,*****,*****,"Temperature, Humidity",Best Integrated Humidity Sensor. Note: Has a fixed I²C address (0x44).,$5 - $15,Capacitive/CMOSens (4th Gen),I²C,"T: ±0.2°C, H: ±1.8% RH",Excellent Long-Term Stability (Highest SHT-family grade),None (Factory Lifetime),Low,0h (immediate),Factory calibrated,SensirionI2cSht4x
SHT41,Sensirion,T/H,Enhanced,3,2,,,,,,,,,,Excellent (1),*****,*****,****,"Temperature, Humidity",Second Best Integrated T/H Sensor. Note: Has a fixed I²C address (0x44).,$4 - $12,Capacitive/CMOSens (4th Gen),I²C,"T: ±0.3°C, H: ±3% RH (Enhanced Grade)",Enhanced Grade (Very Good Stability),None (Factory Lifetime),Low,0h (immediate),Factory calibrated,SensirionI2cSht4x
SHT40,Sensirion,T/H,Standard,4,3,,,,,,,,,,Excellent (1),*****,****,***,"Temperature (backup), Humidity (backup)",Low-cost entry to the SHT4x family. Note: Has a fixed I²C address (0x44).,$3 - $8,Capacitive/CMOSens (4th Gen),I²C,"T: ±0.3°C, H: ±6% RH (Standard Grade)",Standard Grade (Relies on SHT4x family stability),None (Factory Lifetime),Low,0h (immediate),Factory calibrated,SensirionI2cSht4x
SHT31-D,Sensirion,T/H,Standard,5,4,,,,,,,,,,Excellent (1),*****,****,****,"Temperature (backup), Humidity (backup)",Highly stable legacy option. Note: Has a selectable I²C address (0x44 or 0x45).,$1.25 - $5,Capacitive/CMOSens,I²C,"T: ±0.3°C, H: ±2% RH",High Stability; Industry Standard Low Drift,None (Factory Lifetime),Low,0h (immediate),Factory calibrated,
SCD30,Sensirion,CO2,High Stability,6,5,,1,,,,,,,Excellent (1.5),*****,*****,****,"CO2, Temperature",Best Affordable CO2 Sensor. Has highly accurate (5-star) temp sensor inside. Note: Has fixed I²C address.,$50 - $80,Dual Channel NDIR (Hardware Comp.),I²C,High (±(30 ppm + 3% reading)),Superior Stability by Dual-Channel Compensation (Code Compliant),Forced Recalibration (FRC) recommended **once** on installation,Low,168h (7 days) if ASC enabled,ASC 7-day cycle; requires 1h fresh air exposure daily,SparkFun_SCD30_Arduino_Library
SCD40,Sensirion,CO2,High Stability,,,,2,,,,,,,Very Good (1.5),****,****,****,CO2,"Best value for high-stability true CO2 reading. Range 400-2,000 ppm. Note: FRC recommended once on install.",$27 - $32,Photoacoustic Sensing (PAS),I²C,High (±40 ppm + 5% reading),High Stability; Inherently resistant to optical drift,FRC recommended **once** on installation (PAS stability),Low,168h (7 days) if ASC enabled,ASC 7-day cycle; requires 1h fresh air exposure daily,SparkFun_SCD4x_Arduino_Library
SCD41,Sensirion,CO2,High Stability,,,,2,,,,,,,Very Good (1.5),****,****,****,CO2,"Enhanced range 400-5,000 ppm (suitable for high pollution/industrial). Note: FRC recommended once on install.",$30 - $35,Photoacoustic Sensing (PAS),I²C,High (±40 ppm + 5% reading),High Stability; Inherently resistant to optical drift,FRC recommended **once** on installation (PAS stability),Low,168h (7 days) if ASC enabled,ASC 7-day cycle; requires 1h fresh air exposure daily,SparkFun_SCD4x_Arduino_Library
BMP390,Bosch,Pressure,Premium,,,1,,,,,,,,,Excellent (1),***,****,*****,Pressure,Best pressure sensor. Requires host software to apply one-time offset (using local online pressure/altitude) to correct for solder stress.,~$10.95,MEMS Piezoresistive,I²C/SPI,±0.03 hPa Relative (equiv. ±25 cm),±0.16 hPa / 12 mo; Best-in-class low noise (0.02 Pa),Post-assembly offset calibration recommended to mitigate solder drift of <±0.8 hPa,High (Requires Solder Drift Mitigation),0h (immediate),One-time offset,Adafruit_BMP3XX
MS5611,TE Connectivity,Pressure,Premium,,,2,,,,,,,,,Very Good (2),*****,****,****,Pressure (Altitude),Best Pressure Sensor for altitude. Truly set-and-forget calibration.,~$15 - $25,Piezoresistive,I²C/SPI,High Resolution Altimeter,Excellent long term stability; widely used industrial standard,None (Factory Calibrated); Digital output,Low,0h (immediate),Factory calibrated,
BME280,Bosch,T/H/P,Standard,7,6,3,,,,,,,,Excellent (1),*****,***,***,"Pressure (backup), Temperature (backup), Humidity (backup)",Highly stable T/H/P core. Note: Has selectable I²C address (0x76 or 0x77).,$2 - $4,MEMS/T/H/P,I²C,"H: ±3% r.H., P: High accuracy",High Stability; Digital Compensation,None (Factory Lifetime),Low,0h (immediate),Factory calibrated,Adafruit_BME280
BMP280,Bosch,Pressure,Budget,,,4,,,,,,,,Good (2),***,***,***,Pressure (budget backup),Low-cost pressure. Requires host software to apply one-time offset to correct for solder stress.,$1.50 - $3,MEMS Piezoresistive,I²C/SPI,Relative accuracy high; Absolute accuracy low,Moderate Long-Term Stability (High solder drift risk),Post-assembly offset calibration recommended to mitigate solder drift,High (Requires Solder Drift Mitigation),0h (immediate),One-time offset,Adafruit_BMP280
SGP41,Sensirion,VOC/NOx,Enhanced,,,,,1,,,,,,High (4),*****,**,**,"VOC, NOx",Useful for relative measurements only. Includes NOx Index. Best long-term baseline via proprietary algorithm.,$20 - $25 (Estimate),MOx (CMOSens),I²C,VOC/NOx Index (Dimensionless/Relative),Robustness managed by proprietary VOC/NOx Algorithm,None (Relies on complex algorithmic compensation),Medium (Requires Algorithmic Compensation),12h,10s warmup + algorithm conditioning period,SensirionI2CSgp41
SGP40,Sensirion,VOC,Standard,,,,,2,,,,,,High (4),*****,**,**,VOC,Useful for relative measurements only. Best long-term baseline stability via proprietary VOC Algorithm.,$15 - $20 (Estimate),MOx (CMOSens),I²C,VOC Index (Dimensionless/Relative),Robustness managed by proprietary VOC Algorithm,None (Relies on complex algorithmic compensation),Medium (Requires Algorithmic Compensation),12h,10s warmup + algorithm conditioning,SensirionI2CSgp40
BME688,Bosch,VOC,Standard,9,8,5,,3,,,,,,High (4),*****,**,**,VOC (AI enhanced),Useful for relative measurements only. Has good T/H/P core and uses AI (BSEC library) for gas indexing.,$15 - $25 (Breakout),MOx + MEMS (AI Enhanced),I²C,IAQ Index (Dimensionless) / ppb detection,Stability managed by proprietary BSEC software/AI model,Relies on complex proprietary software (BSEC) for index calculation,Medium (Requires BSEC Library),48h (2 days),BSEC: 48h gas sensor burn-in,Adafruit_BME680
